Word	Romanised Word	Pronunciation	Variant Number	Comments
চাওঁৰ	cA2oMr	s a U ~ r	0	
চাকৰি	cA2krI2	s a . k o . r i	0	
চাগে	cA2ge2	s a . g E	0	
চাঞ্চ	cA2J+c	s a n s	0	
চাত	cA2t	s a t	0	
চানমাৰিত	cA2nmA2rI2t	s a  n  . m a . r i t	0	
চানুহ	cA2nU2h	s a . n u h	0	
চান্দমাৰিত	cA2n+dmA2rI2t	s a n  d . m a . r i t	0	
চাপোৰ	cA2po2r	s a . p O r	0	
চাপোৰত	cA2po2rt	s a . p O . r O t	0	
চাব	cA2b	s a b O	0	
চাবই	cA2bI	s a . b i	0	
চাবনে	cA2bne2	s a . b O . n E	0	
চাবলগীয়া	cA2blgi2yA2	s a . b o . l o . g i . j a	0	
চাবলৈ	cA2ble4	s a . b o . l oi	0	
চাবা	cA2bA2	s a . b a	0	
চাবোন	cA2bo2n	s a . b U n	0	
চাম	cA2m	s a m	0	
চালা	cA2lA2	s a . l a	0	
চালানে	cA2lA2ne2	s a . l a . n E	0	
চালি	cA2lI2	s a . l i	0	
চালে	cA2le2	s a . l E	0	
চালেনে	cA2le2ne2	s a . l E . n E	0	
চালো	cA2lo2	s a . l U	0	
চালোৱে	cA2lo2we2	s a . l U . w E	0	
চাল্লা	cA2l+lA2	s a l . l a	0	
চাহ	cA2h	s a h	0	
চাৰি	cA2rI2	s a . r i	0	
চাৰিআলি	cA2rI2AlI2	s a . r i. # a . l i	0	
চাৰিআলিৰ	cA2rI2AlI2r	s a . r i  # a . l i r	0	
চাৰিআলিৰপৰা	cA2rI2AlI2rprA2	s a . r i  # a . l i  r . p O . r a	0	
চাৰিটা	cA2rI2t`A2	s a . r i . t a	0	
চাৰিটামান	cA2rI2t`A2mA2n	s a . r i . t a . m a n	0	
চাৰিশ	cA2rI2S	s a . r i . x O	0	
চাৰে	cA2re2	s a . r E	0	
চাৰ্টি	cA2r+t`I2	s a r . t i	0	
চাৰ্টিফিকেট	cA2r+t`I2PI2ke2t`	s a r . t i . P i . k E t	0	
চাৰ্টিফিকেত	cA2r+t`I2PI2ke2t	s a r . t i . P i . k E t	0	
চাৰ্ভিছ	cA2r+BI2C	s a r . B i s	0	
চাৱ	cA2w	s a . w O	0	
চি	cI2	s i	0	
চিইত	cI2It	s i t	0	
চিউচন	cI2Ucn	s i u . s O n	0	
চিক	cI2k	s i k	0	
চিকাৰ	cI2kA2r	s i . k a r	0	
চিক্স	cI2k+s	s i k s	0	
চিক্সতিন	cI2k+stI2n	s i k  s  . t i n	0	
চিঙি	cI2NI2	s i N . i	0	
চিঞৰিছ	cI2JrI2C	s i  o ~ . r i s O	0	
চিটি	cI2t`I2	s i . t i	0	
চিটিৰ	cI2t`I2r	s i . t i r	0	
চিত্তৰ	cI2t+tr	s i t . t O r	0	
চিত্ৰা	cI2t+rA2	s i . t r a	0	
চিধা	cI2DA2	s i . D a	0	
চিন	cI2n	s i n	0	
চিনাক-	cI2nA2k-	s i . n a k	0	
চিনাকী	cI2nA2ki2	s i . n a . k i	0	
চিনাকী-	cI2nA2ki2-	s i . n a . k i	0	
চিনি	cI2nI2	s i . n i	0	
চিন্তাই	cI2n+tA2I	s i n . t a i	0	
চিন্তাৰ	cI2n+tA2r	s i n . t a r	0	
চিমনীৰ	cI2mni2r	s i  m  . n i r	0	
চিমা	cI2mA2	s i . m a	0	
চিমাহঁতকো	cI2mA2hMtko2	s i . m a . h O ~ t O . k U	0	
চিমাৰ	cI2mA2r	s i . m a r	0	
চিলাই	cI2lA2I	s i . l a i	0	
চিলাইছোঁ	cI2lA2ICo2M	s i . l a i . s o ~	0	
চিলাইটোত	cI2lA2It`o2t	s i . l a i . t U t	0	
চিলাইত	cI2lA2It	s i . l a i t	0	
চিলাইৰ	cI2lA2Ir	s i . l a i r	0	
চিলাব	cI2lA2b	s i . l a b O	0	
চিলাবৰ	cI2lA2br	s i . l a . b O r	0	
চিলেকচনত	cI2le2kcnt	s i . l E  k  . s O . n O t	0	
চিষ্টেমত	cI2s`+t`e2mt	s i s . t E . m O t	0	
চিহুৰ	cI2hU2r	s i . h u r	0	
চুই	cU2I	s u i	0	
চুচি	cU2cI2	s u . s i	0	
চুজীতা	cU2ji2tA2	s u . z i . t a	0	
চুটিছে	cU2t`I2Ce2	s u . t i . s E	0	
চুপাৰ	cU2pA2r	s u . p a r	0	
চুপি	cU2pI2	s u . p i	0	
চুবুৰীয়া	cU2bU2ri2yA2	s u . b u . r i . j a	0	
চুলি	cU2lI2	s u . l i	0	
চুলিত	cU2lI2t	s u . l i t	0	
চুৰিব	cU2rI2b	s u . r i . b O	0	
চেক	ce2k	s E k	0	
চেকিং	ce2kI2W	s e . k i N	0	
চেঙা	ce2NA2	s E N . a	0	
চেঙাত	ce2NA2t	s E N . a t	0	
চেটিং	ce2t`I2W	s e . t i N	0	
চেণ্ডল	ce2n`+d`l	s E n . d O l	0	
চেণ্ডেল	ce2n`+d`e2l	s E n . d E l	0	
চেলোৱাৰ	ce2lo2wA2r	s E . l U . w a r	0	
চেষ্টা	ce2s`+t`A2	s E s . t a	0	
চৈধ্য	ce4D+Y	s oi . D j O	0	
চোকা	co2kA2	s U . k a	0	
চোন	co2n	s U n	0	
চোৰকে	co2rke2	s U . r O . k E	0	
চোৰে	co2re2	s U . r E	0	
চোৱা	co2wA2	s U . w a	0	
চোৱাৰ	co2wA2r	s U . w a r	0	
চৌধুৰী	co4DU2ri2	s ou . D u . r i	0	
চৌব্বিছ	co4b+bI2C	s ou b . b i s	0	
চৌব্বিশ	co4b+bI2S	s ou b . b i s	0	
চৌষষ্ঠী	co4s`s`+T`i2	s ou . x O s . T i	0	
চৌসত্তৰ	co4st+tr	s ou . x o t . t o r	0	
চৌৰানব্বৈ	co4rA2nb+be4	s ou . r a . n o b . b oi	0	
চৌৰান্নব্বৈ	co4rA2n+nb+be4	s ou . r a n . n o b . b oi	0	
চৌৰাল্লিছ	co4rA2l+lI2C	s ou . r a l . l i s	0	
চৌৰাশী	co4rA2Si2	s ou . r a . x i ~	0	
চ্ৰেচ	c+re2c	s r E s	0	
চৰকাৰেই	crkA2re2I	s O r  . k a . r e i	0	
চৰাইক	crA2Ik	s O . r a i k	0	
চৰীক্ষা	cri2k+s`A2	s o . r i k . K a	0	
চৰ্ন	cr+n	s O r n O	0	
ছ-	C-	s	0	
ছন্‌ছ	Cn+‌C	s O n s	0	
ছবি	CbI2	s o . b i	0	
ছমাহ	CmA2h	s O . m a h	0	
ছমাহলেকে	CmA2hle2ke2	s O . m a . h O . l E . k E	0	
ছমাহৰ	CmA2hr	s O . m a . h O r	0	
ছশ	CS	s O x O	0	
ছাইকেলেৰে	CA2Ike2le2re2	s a i . k E . l E . r E	0	
ছাইডে	CA2Id`e2	s a i . d E	0	
ছাগে	CA2ge2	s a . g E	0	
ছাতনি	CA2tnI2	s a . t O . n i / s a t . n i	0	
ছাপ	CA2p	s a p	0	
ছাপন্ন	CA2pn+n	s a . p p O n	0	
ছাবজেক্ট	CA2bje2k+t`	s a  b  . z E k t	0	
ছাব্বিছ	CA2b+bI2C	s a b . b i s	0	
ছালেম	CA2le2m	s a . l E m	0	
ছায়ামূৰ্তিক	CA2yA2mu2r+tI2k	s a . j a . m u r . t i k	0	
ছাৰ	CA2r	s a r	0	
ছাৰাউগী	CA2rA2Ugi2	s a . r a u . g i	0	
ছিক্স	CI2k+s	s i k s	0	
ছিটতো	CI2t`to2	s i  t  . t u	0	
ছিলং	CI2lW	s i . l O N	0	
ছিলঙত	CI2lNt	s i . l O N . O t	0	
ছিলেকছন	CI2le2kCn	s i . l E  k . s O n	0	
ছিলেকছনৰ	CI2le2kCnr	s i . l E  k  . s O . n O r	0	
ছিলেক্ট	CI2le2k+t`	s i . l E k t	0	
ছিয়ানব্বৈ	CI2yA2nb+be4	s i . j a . n O b . b oi	0	
ছিয়েট	CI2ye2t`	s i . j E t	0	
ছুট	CU2t`	s u t	0	
ছুটিং	CU2t`I2W	s u . t i N	0	
ছুটী	CU2t`i2	s u . t i	0	
ছুলিখিনি	CU2lI2KI2nI2	s u . l i . K i . n i	0	
ছেকেণ্ড	Ce2ke2n`+d`	s E . k E n d	0	
ছেক্টৰতো	Ce2k+t`rto2	s E k . t O . r O . t U	0	
ছেপ্টেম্বৰ	Ce2p+t`e2m+br	s E p . t E m . b O r	0	
ছো	Co2	s U	0	
ছোলডাৰতো	Co2ld`A2rto2	s O l . d a . r O . t U	0	
ছোৱালী	Co2wA2li2	s U . w a . l i	0	
ছোৱালীক	Co2wA2li2k	s U . w a . l i k	0	
ছোৱালীজনী	Co2wA2li2jni2	s U . w a . l i . z o . n i	0	
ছোৱালীবিলাকে	Co2wA2li2bI2lA2ke2	s U . w a . l i . b i . l a . k E	0	
ছোৱালীয়ে	Co2wA2li2ye2	s U . w a . l i . j E	0	
ছোৱালীয়েই	Co2wA2li2ye2I	s U . w a . l i . j e i	0	
ছোৱালীৰ	Co2wA2li2r	s U . w a . l i r	0	
ছয়	Cy	s O j	0	
ছয়টা	Cyt`A2	s O  j  . t a	0	
ছয়ত্ৰিছ	Cyt+rI2C	s O  j  . t r i s	0	
ছয়ত্ৰিশ	Cyt+rI2S	s O j . t r i s	0	
ছয়ষষ্ঠী	Cys`s`+T`i2	s O j  . x O s . T i	0	
ছয়সত্তৰ	Cyst+tr	s O  j  . x o t . t o r	0	
জগত	jgt	z O . g O t	0	
জনতাক	jntA2k	z O . n O . t a k	0	
জনপ্ৰিয়	jnp+rI2y	z O . n O . p r i . j O	0	
জনসমাজত	jnsmA2jt	z O . n O . x O . m a . z O t	0	
জনা	jnA2	z O . n a	0	
জনাইছে	jnA2ICe2	z O . n a i . s E	0	
জন্দিচ	jn+dI2c	z O n . d i s	0	
জন্ম	jn+m	z O n . m O	0	
জন্মত	jn+mt	z O n . m O t	0	
জনৰ	jnr	z O . n O r	0	
জব	jb	z O b	0	
জমনী	jmni2	z O . m O . n i	0	
জমা	jmA2	z O . m a	0	
জল্দি	jl+dI2	z O l . d i	0	
জাঁপ	jA2Mp	z a ~ p	0	
জাতি	jA2tI2	z a . t i	0	
জাতীয়	jA2ti2y	z a . t I . j O	0	
জান	jA2n	z a n	0	
জানক	jA2nk	z a . n O k	0	
জাননে	jA2nne2	z a . n O . n E	0	
জানমনিৰ	jA2nmnI2r	z a  n  . m o . n i r	0	
জানাতো	jA2nA2to2	z a . n a . t U	0	
জানানে	jA2nA2ne2	z a . n a . n E	0	
জানিব	jA2nI2b	z a . n i b O	0	
জানুৱাৰী	jA2nU2wA2ri2	z a . n u . w a . r i	0	
জানে	jA2ne2	z a . n E	0	
জানেই	jA2ne2I	z a . n e i	0	
জানেনে	jA2ne2ne2	z a . n E . n E	0	
জানো	jA2no2	z a . n O	0	
জাপিৰ	jA2pI2r	z a . p i r	0	
জালিয়াতিৰ	jA2lI2yA2tI2r	z a . l i . j a . t i r	0	
জাষ্ট	jA2s`+t`	z a s t	0	
জি	jI2	z i	0	
জিকিছিলে	jI2kI2CI2le2	z i . k i . s i . l E	0	
জিকিব	jI2kI2b	z i . k i  . b O	0	
জিকিলে	jI2kI2le2	z i . k i . l E	0	
জিকিলেই	jI2kI2le2I	z i . k i . l E i	0	
জিতুমনি	jI2tU2mnI2	z i . t u . m O . n i	0	
জিতুমনিৰ	jI2tU2mnI2r	z i . t u . m O . n i r	0	
জিলা	jI2lA2	z i . l a	0	
জিৰাফ	jI2rA2P	z i . r a P	0	
জীৱন	ji2wn	z i . b O n	0	
জীৱনৰ	ji2wnr	z i . b O . n O r	0	
জুন	jU2n	z u n	0	
জুবিন	jU2bI2n	z u . b i n	0	
জুৰি	jU2rI2	z u . r i	0	
জুৰিহঁতৰ	jU2rI2hMtr	z u . r i . h O ~ t O r	0	
জুৰিৰ	jU2rI2r	z u . r i r	0	
জেগা	je2gA2	z E . g a	0	
জেগাটোৰ	je2gA2t`o2r	z E . g a . t U r	0	
জেগাত	je2gA2t	z E . g a t	0	
জেগাতে	je2gA2te2	z E . g a . t E	0	
জেগাতেই	je2gA2te2I	z E . g a . t e i	0	
জেঠ	je2T`	z E T	0	
জেঠপেহা	je2T`pe2hA2	z E T  . p E . h a	0	
জেঠাককো	je2T`A2kko2	z E . T a . k O . k U	0	
জেনেৰেল	je2ne2re2l	z E . n E . r E l	0	
জেলেপীৰ	je2le2pi2r	z e . l e . p i r	0	
জোঁৱাই	jo2MwA2I	z U ~ w a i	0	
জোকাৰি	jo2kA2rI2	z U . k a . r i	0	
জোনমণি	jo2nmn`I2	z U n . m o . n i	0	
জোৰেৰে	jo2re2re2	z U . r E . r E	0	
জ্যোতি	j+Yo2tI2	z u . t i	0	
জ্যোতিপ্ৰসা-	j+Yo2tI2p+rsA2-	z u . t i . p r O . x a 	0	
জয়সাগৰলে	jysA2grle2	z O j . x a . g O . r O . l E	0	
টকা	t`kA2	t O . k a	0	
টকাটো	t`kA2t`o2	t O . k a . t U	0	
টকাত	t`kA2t	t O . k a t	0	
টকামান	t`kA2mA2n	t O . k a . m a n	0	
টকাহে	t`kA2he2	t O . k a . h E	0	
টকাৰ	t`kA2r	t O . k a r	0	
টপটোহে	t`pt`o2he2	t O . p O  t  . h E	0	
টাইপৰ	t`A2Ipr	t a i . p O r	0	
টাইম	t`A2Im	t a i m	0	
টাইমত	t`A2Imt	t a i . m O t	0	
টাইমতো	t`A2Imto2	t a i . m O . t U	0	
টাইমতোতহে	t`A2Imto2the2	t a i m . t U t . h E	0	
টাইমেক্স	t`A2Ime2k+s	t a i . m E k s	0	
টাইমো	t`A2Imo2	t a i . m U	0	
টাইমৰ	t`A2Imr	t a i . m O r	0	
টানো	t`A2no2	t a . n U	0	
টি	t`I2	t i	0	
টিউচন	t`I2Ucn	t i u . s O n	0	
টিকলা	t`I2klA2	t i . k  l a	0	
টিকা	t`I2kA2	t i . k a	0	
টিকেট	t`I2ke2t`	t i . k e t	0	
টিপিলো	t`I2pI2lo2	t i . p i . l u	0	
টিভি	t`I2BI2	t i . B i	0	
টিভিতো	t`I2BI2to2	t i . B i . t u	0	
টিম	t`I2m	t i m	0	
টু	t`U2	t u	0	
টুৱেন্টি	t`U2we2n+t`I2	t u . w E n . t i	0	
টুৱেন্টিত	t`U2we2n+t`I2t	t u . w E n . t i t	0	
টুৱেন্টিতু	t`U2we2n+t`I2tU2	t u . w E n . t i . t u	0	
টেংকিতো	t`e2WkI2to2	t E N . k i . t u	0	
টেট	t`e2t`	t E t	0	
টেটত	t`e2t`t	t E . t O t	0	
টেটৰ	t`e2t`r	t E . t O r	0	
টেন	t`e2n	t E n	0	
টেনচন	t`e2ncn	t E n  . s O n	0	
টেমা	t`e2mA2	t E . m a	0	
টেম্পোৰেৰি	t`e2m+po2re2rI2	t E m . p O . r e . r i	0	
টেলি-কমিউনিকেছনত	t`e2lI2-kmI2UnI2ke2Cnt	t e . l i # k o . m i u . n i . k E . s O . n O t	0	
টেলী	t`e2li2	t e . l i	0	
টেলেন্টেদ	t`e2le2n+t`e2d	t E . l E n . t E d	0	
টেষ্টিঙৰ	t`e2s`+t`I2Nr	t e s . t i N . O r	0	
টো	t`o2	t U	0	
টোতো	t`o2to2	t U . t U	0	
টোপনি	t`o2pnI2	t U . p O . n i	0	
ট্ৰাই	t`+rA2I	t r a i	0	
ট্ৰাক	t`+rA2k	t r a k	0	
ট্ৰিপ	t`+rI2p	t r i p	0	
ট্ৰেডিং	t`+re2d`I2W	t r e . d i N	0	
ট্ৰেফিকৰ	t`+re2PI2kr	t r e . P i . k O r	0	
ঠাইলৈ	T`A2Ile4	T a i . l oi	0	
ঠাইৰ	T`A2Ir	T a i r	0	
ঠিক	T`I2k	T i k	0	
ঠিক-	T`I2k-	T i k	0	
ঠিকে	T`I2ke2	T i . k E	0	
ঠিকেই	T`I2ke2I	T i . k e i	0	
ঠিৰাং	T`I2rA2W	T i . r a N	0	
ঠৰঙা	T`rNA2	T O . r O N . a	0	
ড	d`	d	0	
ডলা	d`lA2	d O . l a	0	
ডলিতা	d`lI2tA2	d o . l i . t a	0	
ডাইনী	d`A2Ini2	d a i . n i	0	
ডাইৰেক্ট	d`A2Ire2k+t`	d a i . r E k t	0	
ডাউন	d`A2Un	d a u n	0	
ডাঙৰ	d`A2Nr	d a N . O r	0	
ডাঙৰকেটা	d`A2Nrke2t`A2	d a .  N  O  r  . k E . t a	0	
ডাঞ্চ	d`A2J+c	d a n s	0	
ডাঞ্চত	d`A2J+ct	d a n . s O t	0	
ডাবোল	d`A2bo2l	d a . b o l	0	
ডি	d`I2	d i	0	
ডি-	d`I2-	d i	0	
ডিঙিৰ	d`I2NI2r	d i N . i r	0	
ডিচকাচ	d`I2ckA2c	d i s  . k a s	0	
ডিচখন	d`I2cKn	d i s . K O n	0	
ডিচট্ৰিক	d`I2ct`+rI2k	d i s  . t r i k	0	
ডিচেম্বৰ	d`I2ce2m+br	d i . s E m . b O r	0	
ডিজাইন	d`I2jA2In	d i . z a i n	0	
ডিজাইনটো	d`I2jA2Int`o2	d i . z a i n . t o	0	
ডিজাইনহে	d`I2jA2Inhe2	d i . z a i n . h E	0	
ডিফু	d`I2PU2	d i . P u	0	
ডিফুৰ	d`I2PU2r	d i . P u r	0	
ডিষ্টেন্স	d`I2s`+t`e2n+s	d i s . t E ns	0	
ডিষ্ট্ৰিক্টটতে	d`I2s`+t`+rI2k+t`t`te2	d i s . t r i k  . t O t . t E	0	
ডিষ্ট্ৰিক্টত	d`I2s`+t`+rI2k+t`t	d i s . t r i k . t O t	0	
ডিষ্ট্ৰিক্টতে	d`I2s`+t`+rI2k+t`te2	d i s . t r i k . t O . t E	0	
ডিষ্ট্ৰিক্টৰ	d`I2s`+t`+rI2k+t`r	d i s . t r i k . t O r	0	
ডেকা	d`e2kA2	d E . k a	0	
ডেঞ্চটো	d`e2J+ct`o2	d E n  s . t U	0	
ডেঞ্চটোহে	d`e2J+ct`o2he2	d E n  s  . t U . h E	0	
ডেৰমহীয়া	d`e2rmhi2yA2	d E r  . m o . h i . j a	0	
ড্ৰিষ্টিক	d`+rI2s`+t`I2k	d r i s . t i k	0	
ডৰা	d`rA2	d O . r a	0	
ঢলি	D`lI2	D o . l i	0	
ঢাকা	D`A2kA2	D a . k a	0	
ঢেকিয়াজুলীৰ	D`e2kI2yA2jU2li2r	D e . k i . j a . z u . l i r	0	
ত	t	t	0	
ত'	t'	t	0	
তই	tI	t i	0	
তইতো	tIto2	t O i . t u	0	
তইদেখোন	tIde2Ko2n	t O i . d E . K U n	0	
তইহে	tIhe2	t O i . h E	0	
তথাপি	tTA2pI2	t O . T a . p i	0	
তথাপিও	tTA2pI2o	t O . T a . p i u	0	
তথাপিতো	tTA2pI2to2	t O . T a . p i . t u	0	
তথ্য	tT+Y	t O i . T j O	0	
তপত	tpt	t O . p O t	0	
তপতকে	tptke2	t O . p O  t  . k E	0	
তপাই	tpA2I	t O . p a i	0	
তলত	tlt	t O . l O t	0	
তলৰ	tlr	t O . l O r	0	
তহঁতক	thMtk	t O . h O ~ t O k	0	
তহঁতে	thMte2	t O . h O ~ t E	0	
তহঁতৰ	thMtr	t O . h O ~ t O r	0	
তহঁতৰহে	thMtrhe2	t O . h O ~ . t O r  . h E	0	
তহঁতৰে	thMtre2	t O . h O ~ . t O . r E	0	
তহতৰ	thtr	t O . h O ~. t O r	0	
তাঁহাতি	tA2MhA2tI2	t a ~ h a ~. t i	0	
তাই	tA2I	t a i	0	
তাইও	tA2Io	t a i u	0	
তাইক	tA2Ik	t a i k	0	
তাইতো	tA2Ito2	t a i . t U	0	
তাইৰ	tA2Ir	t a i r	0	
তাইৰো	tA2Iro2	t a i . r U	0	
তাক	tA2k	t a k	0	
তাকলুই	tA2klU2I	t a  k  . l u i	0	
তাকে	tA2ke2	t a . k E	0	
তাকেই	tA2ke2I	t a . k e i	0	
তাকেতো	tA2ke2to2	t a . k E . t U	0	
তাকো	tA2ko2	t a . k U	0	
তাত	tA2t	t a t	0	
তাতে	tA2te2	t a . t E	0	
তাতেই	tA2te2I	t a . t e i	0	
তাতেতো	tA2te2to2	t a . t E . t U	0	
তাতো	tA2to2	t a . t U	0	
তামাম	tA2mA2m	t a . m a m	0	
তামোল	tA2mo2l	t a . m U l	0	
তালে	tA2le2	t a . l E	0	
তাহাঁতো	tA2hA2Mto2	t a . h a ~ t U	0	
তাহাঁতৰ	tA2hA2Mtr	t a . h a ~ t O r	0	
তাহাতি	tA2hA2tI2	t a . h a ~ . t i	0	
তাহাতিহঁত	tA2hA2tI2hMt	t a . h a ~. t i . h O ~ t	0	
তাৰ	tA2r	t a r	0	
তাৰ-	tA2r-	t a r	0	
তাৰপাছত	tA2rpA2Ct	t a r  . p a . s O t	0	
তাৰপিছত	tA2rpI2Ct	t a  r  . p i . s O t	0	
তাৰপৰা	tA2rprA2	t a  r . p O . r a	0	
তাৰমানে	tA2rmA2ne2	t a r . m a . n E	0	
তাৰিখ	tA2rI2K	t a . r i K	0	
তাৰিখলেকে	tA2rI2Kle2ke2	t a . r i . K O . l E . k E	0	
তাৰিখলৈ	tA2rI2Kle4	t a . r i . K o . l oi	0	
তাৰিখে	tA2rI2Ke2	t a . r i . K E	0	
তাৰিখেই	tA2rI2Ke2I	t a . r i . K e i	0	
তাৰিখৰ	tA2rI2Kr	t a . r i . K O r	0	
তাৰে	tA2re2	t a . r E	0	
তাৰো	tA2ro2	t a . r U	0	
তিন	tI2n	t i n	0	
তিনচুকীয়া	tI2ncU2ki2yA2	t i n  . s u . k i . j a	0	
তিনি	tI2nI2	t i . n i	0	
তিনিওটা	tI2nI2ot`A2	t i . n i u . t a	0	
তিনিচুকীয়া	tI2nI2cU2ki2yA2	t i . n i . s u . k i . j a	0	
তিনিটা	tI2nI2t`A2	t i . n i . t a	0	
তিনিটাত	tI2nI2t`A2t	t i . n i . t a t	0	
তিনিদিন	tI2nI2dI2n	t i . n i . d i n	0	
তিনিমাহ	tI2nI2mA2h	t i . n i . m a h	0	
তিনিমাহৰ	tI2nI2mA2hr	t i . n i . m a . h O r	0	
তিনিশ	tI2nI2S	t i . n i . x O	0	
তু	tU2	t u	0	
তুমি	tU2mI2	t u . m i	0	
তুমিতো	tU2mI2to2	t u . m i . t U	0	
তুমিয়েই	tU2mI2ye2I	t u . m i . j e i	0	
তুল-	tU2l-	t u l	0	
তুলাচনীতেহে	tU2lA2cni2te2he2	t u . l a . s O . n i . t E . h E	0	
তুলিকাৰ	tU2lI2kA2r	t u . l i . k a r	0	
তৃণমূল	tr2n`mu2l	t r i . n O . m u l	0	
তৃষ্ণা	tr2s`+n`A2	t  r i s . n a	0	
তে	te2	t E	0	
তেওঁ	te2oM	t E U ~	0	
তেওঁক	te2oMk	t E U ~ k	0	
তেওঁকে	te2oMke2	t E U ~ k E	0	
তেওঁলোকৰ	te2oMlo2kr	t E U ~ l U . k O r	0	
তেওঁৰ	te2oMr	t EU ~ r	0	
তেখেতৰ	te2Ke2tr	t e . K e . t O r	0	
তেজপুৰত	te2jpU2rt	t E z  . p u . r O t	0	
তেজপুৰৰ	te2jpU2rr	t E z  . p u . r O r	0	
তেজি	te2jI2	t e . z i	0	
তেজীমলা	te2ji2mlA2	t e . z i . m O . l a	0	
তেতিয়া	te2tI2yA2	t e . t i . j a	0	
তেতিয়াতো	te2tI2yA2to2	t e . t i . j a . t O	0	
তেতিয়াহ'লে	te2tI2yA2h'le2	t e . t i . j a . h o . l E	0	
তেতিয়াহে	te2tI2yA2he2	t e . t i . j a . h E	0	
তেতিয়াৰ	te2tI2yA2r	t e . t i . j a r	0	
তেত্ৰিছ	te2t+rI2C	t E . t r i s	0	
তেনে	te2ne2	t E . n E	0	
তেনেকুৱা	te2ne2kU2wA2	t E . n e . k u . w a	0	
তেনেকে	te2ne2ke2	t E . n E . k E	0	
তেনেহ'লে	te2ne2h'le2	t E . n E . h O . l E	0	
তেন্তে	te2n+te2	t E n . t E	0	
তেপন্ন	te2pn+n	t E . p O n n O	0	
তেলি	te2lI2	t e . l i	0	
তেসত্তৰ	te2st+tr	t E . x o t . t o r	0	
তেৰ	te2r	t E . r O	0	
তো	to2	t U	0	
তোক	to2k	t U k	0	
তোকে	to2ke2	t U . k E	0	
তোকে-	to2ke2-	t U . k E	0	
তোকেই	to2ke2I	t U . k e i	0	
তোমাক	to2mA2k	t U . m a k	0	
তোমাকে	to2mA2ke2	t U . m a . k E	0	
তোমালোকৰ	to2mA2lo2kr	t U . m a . l U . k O r	0	
তোমাৰ	to2mA2r	t U . m a r	0	
তোমা‌ৰ	to2mA2‌r	t U . m a r	0	
তোলে	to2le2	t U . l E	0	
তোৰ	to2r	t U r	0	
ত্ৰিশ	t+rI2S	t r i s	0	
তৎক্ষনাতে	tt2k+s`nA2te2	t O t . K O . n a . t E	0	
তৎস্বত্ত্বেও	tt2s+bt+t+be2o	t O t . x O t . t e u	0	
তৰুণ	trU2n`	t o . r u n	0	
তৰুণৰাম	trU2n`rA2m	t o . r u  n  . r a m	0	
থওঁ	ToM	T O ~U	0	
থকা	TkA2	T O . k a	0	
থকাকে	TkA2ke2	T O . k a . k E	0	
থকাৰ	TkA2r	T O . k a r	0	
থব	Tb	T O . b O	0	
থবা	TbA2	T O . b a	0	
থা-	TA2-	T a	0	
থাইকবা	TA2IkbA2	T a i  k  . b a	0	
থাউজেণ্ড	TA2Uje2n`+d`	T a u . z E n d	0	
থাউজেণ্ডকে	TA2Uje2n`+d`ke2	T a u . z E n . d O . k E	0	
থাক	TA2k	T a k	0	
থাকা	TA2kA2	T a . k a	0	
থাকাই	TA2kA2I	T a . k a i	0	
থাকাতো	TA2kA2to2	T a . k a . t U	0	
থাকি	TA2kI2	T a . k i	0	
থাকিছিলো	TA2kI2CI2le2A2	T a . k i . s i . l u	0	
থাকিব	TA2kI2b	T a . k i .  B O	0	
থাকিবলে	TA2kI2ble2	T a . k i . b O . l E	0	
থাকিবলৈ	TA2kI2ble4	T a . k i . b o . l oi	0	
থাকিবা	TA2kI2bA2	T a . k i . b a	0	
থাকিবি	TA2kI2bI2	T a . k i . b i	0	
থাকিম	TA2kI2m	T a . k i m	0	
থাকিমেই	TA2kI2me2I	T a . k i . m e i	0	
থাকিল	TA2kI2l	T a . k i l	0	
থাকিলে	TA2kI2le2	T a . k i . l E	0	
থাকিলেও	TA2kI2le2o	T a . k i . l e u	0	
থাকিলেহে	TA2kI2le2he2	T a . k i . l E . h E	0	
থাকে	TA2ke2	T a . k E	0	
থাকেই	TA2ke2I	T a . k e i	0	
থাকেতো	TA2ke2to2	T a . k E . t U	0	
থাকো	TA2ko2	T a . k U	0	
থাকোতে	TA2ko2te2	T a . k U . t E	0	
থিক	TI2k	T i k	0	
থিকে	TI2ke2	T i . k E	0	
থিকেই	TI2ke2I	T i . k e i	0	
থিয়েটাৰ	TI2ye2t`A2r	T i . j E . t a r	0	
থৈ	Te4	T oi	0	
থৈছা	Te4CA2	T oi . s a	0	
থৈছিল	Te4CI2l	T oi . s i l	0	
থৈছো	Te4Co2	T oi . s u	0	
থোৱা	To2wA2	T U . w a	0	
থ্ৰী	T+ri2	T r i	0	
দক্ষিণ	dk+s`I2n`	d O k . K i n	0	
দছ	dC	d O s	0	
দণ্ডনীয়	dn`+d`ni2y	d O n . d o . n i . j O	0	
দত্ত	dt+t	d O t . t O	0	
দত্তই	dt+tI	d O t . t  O i	0	
দম	dm	d O m	0	
দলগাওঁ	dlgA2oM	d O  l  . g a O ~	0	
দশ	dS	d O s	0	
দশটা	dSt`A2	d O s . t a	0	
দশটাত	dSt`A2t	d O . s . t a t	0	
দশমিনিটকৈ	dSmI2nI2t`ke4	d O s . m i . n i  t  . k oi	0	
দশাৱতাৰ	dSA2wtA2r	d O . x a . w O . t a r	0	
দহ	dh	d O h	0	
